voc1,no2,eth,co,tag
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.84,background
0.43,0.69,0.23,0.84,background
0.43,0.69,0.23,0.84,background
0.43,0.69,0.23,0.85,background
0.43,0.7,0.23,0.89,background
0.43,0.7,0.23,0.9,background
0.43,0.7,0.24,0.89,background
0.43,0.69,0.23,0.88,background
0.43,0.7,0.23,0.87,background
0.43,0.7,0.23,0.87,background
0.43,0.7,0.23,0.86,background
0.43,0.7,0.23,0.85,background
0.43,0.7,0.23,0.85,background
0.43,0.7,0.23,0.85,background
0.43,0.71,0.23,0.85,background
0.43,0.71,0.24,0.85,background
0.43,0.71,0.24,0.85,background
0.43,0.72,0.24,0.86,background
0.43,0.72,0.24,0.85,background
0.43,0.72,0.24,0.85,background
0.43,0.72,0.24,0.85,background
0.43,0.72,0.24,0.85,background
0.43,0.72,0.23,0.84,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.24,0.84,background
0.43,0.73,0.23,0.84,background
0.43,0.73,0.24,0.84,background
0.43,0.74,0.24,0.84,background
0.43,0.74,0.24,0.84,background
0.43,0.74,0.24,0.84,background
0.43,0.75,0.24,0.84,background
0.43,0.75,0.24,0.84,background
0.43,0.75,0.24,0.84,background
0.43,0.76,0.24,0.84,background
0.43,0.76,0.24,0.84,background
0.43,0.77,0.24,0.84,background
0.43,0.77,0.24,0.84,background
0.43,0.77,0.24,0.84,background
0.43,0.77,0.24,0.84,background
0.43,0.77,0.24,0.84,background
0.43,0.77,0.25,0.84,background
0.43,0.77,0.24,0.84,background
0.43,0.76,0.24,0.84,background
0.43,0.76,0.24,0.84,background
0.43,0.75,0.24,0.84,background
0.43,0.75,0.24,0.84,background
0.43,0.75,0.24,0.83,background
0.43,0.75,0.24,0.84,background
0.43,0.74,0.24,0.83,background
0.43,0.74,0.24,0.83,background
0.43,0.74,0.24,0.83,background
0.43,0.74,0.24,0.83,background
0.43,0.74,0.24,0.84,background
0.43,0.75,0.25,0.83,background
0.43,0.75,0.24,0.83,background
0.43,0.75,0.25,0.84,background
0.59,1.19,0.42,0.69,background
0.59,1.19,0.41,0.69,background
0.59,1.18,0.41,0.69,background
0.59,1.18,0.41,0.69,background
0.59,1.17,0.41,0.69,background
0.59,1.17,0.41,0.69,background
0.59,1.16,0.41,0.69,background
0.59,1.16,0.41,0.69,background
0.59,1.15,0.41,0.69,background
0.59,1.15,0.4,0.69,background
0.58,1.15,0.41,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.13,0.4,0.69,background
0.58,1.13,0.4,0.69,background
0.58,1.13,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.13,0.39,0.68,background
0.57,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.14,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.15,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.16,0.4,0.69,background
0.58,1.17,0.4,0.7,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.7,background
0.58,1.17,0.4,0.7,background
0.58,1.18,0.4,0.7,background
0.58,1.17,0.4,0.7,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
0.58,1.17,0.4,0.69,background
