voc1,no2,eth,co,tag
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.15,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.16,1.11,0.78,background
1.27,1.16,1.12,0.78,background
1.27,1.16,1.11,0.78,background
1.26,1.16,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.27,1.15,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.27,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.15,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.15,1.1,0.78,background
1.26,1.15,1.1,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.15,1.11,0.77,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.1,0.78,background
1.26,1.15,1.1,0.78,background
1.26,1.16,1.1,0.78,background
1.26,1.15,1.1,0.78,background
1.26,1.16,1.11,0.78,background
1.26,1.16,1.11,0.78,background
1.26,1.16,1.11,0.78,background
1.26,1.16,1.11,0.78,background
1.26,1.16,1.11,0.78,background
1.27,1.16,1.11,0.78,background
1.26,1.16,1.11,0.78,background
1.26,1.17,1.12,0.78,background
1.27,1.17,1.11,0.78,background
1.27,1.17,1.11,0.78,background
1.27,1.17,1.12,0.78,background
1.26,1.17,1.12,0.78,background
1.27,1.17,1.12,0.79,background
1.27,1.17,1.12,0.79,background
1.27,1.17,1.11,0.79,background
1.27,1.17,1.11,0.78,background
1.27,1.17,1.12,0.79,background
1.27,1.16,1.12,0.79,background
1.27,1.17,1.12,0.79,background
1.27,1.17,1.12,0.79,background
1.27,1.17,1.12,0.79,background
1.28,1.18,1.12,0.79,background
1.27,1.18,1.12,0.79,background
1.27,1.18,1.13,0.79,background
1.27,1.18,1.13,0.79,background
1.28,1.19,1.13,0.79,background
1.28,1.19,1.13,0.8,background
1.28,1.19,1.13,0.79,background
1.28,1.19,1.13,0.79,background
1.27,1.19,1.13,0.79,background
1.27,1.19,1.13,0.79,background
1.28,1.19,1.13,0.79,background
1.28,1.18,1.13,0.79,background
1.27,1.18,1.13,0.79,background
1.27,1.18,1.13,0.79,background
1.27,1.17,1.13,0.79,background
1.27,1.17,1.13,0.79,background
1.27,1.17,1.13,0.79,background
1.27,1.17,1.13,0.79,background
1.28,1.17,1.13,0.79,background
1.27,1.17,1.13,0.8,background
1.27,1.17,1.13,0.79,background
1.27,1.16,1.12,0.79,background
1.27,1.16,1.13,0.78,background
1.27,1.15,1.12,0.78,background
1.26,1.15,1.12,0.78,background
1.26,1.15,1.12,0.78,background
1.26,1.15,1.12,0.78,background
1.26,1.14,1.12,0.78,background
1.26,1.14,1.12,0.78,background
1.26,1.14,1.12,0.78,background
1.26,1.13,1.11,0.78,background
1.26,1.13,1.11,0.78,background
1.26,1.14,1.12,0.78,background
1.26,1.13,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.25,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.25,1.14,1.11,0.78,background
1.25,1.14,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.12,0.79,background
1.25,1.15,1.12,0.78,background
1.26,1.15,1.12,0.78,background
1.26,1.15,1.12,0.79,background
1.26,1.15,1.12,0.79,background
1.26,1.15,1.12,0.79,background
1.26,1.14,1.12,0.78,background
1.25,1.14,1.11,0.79,background
1.25,1.14,1.11,0.79,background
1.25,1.14,1.11,0.79,background
1.25,1.14,1.11,0.79,background
1.26,1.14,1.11,0.79,background
1.25,1.13,1.11,0.79,background
1.25,1.14,1.11,0.78,background
1.25,1.14,1.11,0.78,background
1.25,1.13,1.11,0.79,background
1.25,1.13,1.11,0.78,background
1.25,1.13,1.11,0.78,background
1.24,1.13,1.1,0.78,background
1.25,1.12,1.1,0.78,background
1.24,1.12,1.1,0.78,background
1.24,1.11,1.1,0.78,background
1.24,1.12,1.1,0.78,background
1.24,1.11,1.1,0.78,background
1.24,1.12,1.1,0.78,background
1.24,1.12,1.1,0.78,background
1.24,1.12,1.1,0.78,background
1.24,1.12,1.1,0.78,background
1.23,1.12,1.09,0.78,background
1.24,1.12,1.09,0.78,background
1.24,1.12,1.09,0.78,background
1.24,1.12,1.09,0.78,background
1.24,1.12,1.09,0.78,background
1.24,1.12,1.1,0.78,background
1.24,1.12,1.1,0.78,background
1.24,1.12,1.09,0.78,background
1.23,1.12,1.09,0.78,background
1.23,1.11,1.09,0.78,background
1.23,1.11,1.09,0.79,background
1.23,1.11,1.09,0.78,background
1.23,1.11,1.09,0.79,background
1.23,1.11,1.09,0.78,background
1.23,1.11,1.09,0.78,background
1.23,1.11,1.09,0.78,background
1.23,1.11,1.09,0.78,background
1.23,1.11,1.09,0.78,background
1.23,1.11,1.08,0.78,background
1.23,1.11,1.09,0.78,background
1.23,1.11,1.09,0.78,background
1.23,1.12,1.09,0.78,background
1.23,1.11,1.09,0.78,background
1.23,1.11,1.09,0.78,background
1.23,1.11,1.09,0.78,background
1.22,1.11,1.09,0.78,background
1.22,1.12,1.09,0.78,background
